trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
46,tcn,23.92529633844892,32.596246518939736,1361.7238711215875,32.596246518939736,20.650396611839533,18.529245884567498,2505.5275535601877,892.9473188751258,686.6967409294489,130,55,10,30,64,3,0.2653941077726633,3,minmax_0_1,0.000778723289386348,16,1.2290436207291823e-06,onecycle,5,0.0,0.0
47,tcn,33.45547051011274,42.52823533076793,1858.3953387771496,34.002720739915965,23.83545545965433,42.52823533076793,1922.8383265889306,881.47052781641,2770.877161926108,35,45,140,75,128,3,0.38578681404264165,3,minmax_0_1,0.0008405207529823861,16,1.2598625254841133e-06,onecycle,5,0.25,0.01
48,tcn,34.12272949269231,44.442226685911585,2026.431288039809,33.213367420564374,24.71259437160095,44.442226685911585,2004.6697770818737,1044.9271313682564,3029.696955669297,45,20,20,30,64,2,0.1389303305132114,3,standard,0.0011953708214311797,16,2.4490735446005304e-06,onecycle,5,0.25,0.0
49,tcn,34.29229713343084,46.63968371164054,1959.5398620004069,31.44705917712301,24.79014851152897,46.63968371164054,2157.112828283859,938.3984309376908,2783.1083267796703,130,75,5,60,128,2,0.3896422264452483,3,minmax_0_1,0.0015262436838069653,64,2.961945462791952e-05,onecycle,3,0.0,0.01
50,tcn,22.630663812048734,31.45206048708409,1150.6640366967356,31.45206048708409,16.60236501380801,19.837565935254098,2086.8158772187126,624.4866110175437,740.6896218539509,190,85,10,30,64,3,0.2137760125188851,3,minmax_0_1,0.0007133345810837471,32,2.9817887170157786e-06,onecycle,5,0.25,0.0
51,tcn,22.29973322744171,32.88244512319565,1150.3898366314083,32.88244512319565,14.458589056283236,19.55816550284624,2147.8002115382187,517.1460083804075,786.2232899755985,155,45,15,20,64,3,0.20875137227208357,3,minmax_0_1,0.0006575587128683122,32,5.2990271179004795e-06,onecycle,5,0.25,0.0
52,tcn,29.63494645976772,45.89530290622264,1739.428370964859,45.89530290622264,24.7175168505311,18.292019622549414,3601.0187370148265,947.501658365319,669.7647175144307,140,40,5,30,64,3,0.2772045042382279,3,minmax_0_1,0.000829158373577459,32,1.9537445117202502e-05,plateau,5,0.25,0.0
53,tcn,35.35058059043561,53.56475416973233,2368.67773702377,26.960217169430106,25.526770432144403,53.56475416973233,1665.3670050318144,926.9964536066057,4513.669752432889,145,120,180,20,128,3,0.1818575851295524,3,minmax_0_1,0.0007267069147024976,16,2.1761985545663827e-05,onecycle,5,0.25,0.0
54,tcn,19.04135960943997,25.07389518767595,761.741901529332,13.781209394037724,25.07389518767595,18.26897424660623,669.4433795052018,913.4725987874347,702.3097262953597,195,70,20,40,64,2,0.1974618095407878,3,minmax_0_1,0.0005562273790483636,32,4.845898935632805e-06,onecycle,5,0.25,0.0
56,tcn,24.957558207586406,34.19017870202661,1216.046318692067,34.19017870202661,21.09292656317353,19.589569357559085,2181.122027656743,699.5338442616983,767.4830841577598,45,40,15,40,64,1,0.17492724446204427,3,minmax_0_1,0.0005915264665693152,32,9.82219553649754e-06,onecycle,5,0.25,0.0
