12:12:21 [INFO] device=cuda  family=lstm  variant=all_tricks  seeds=[0, 1, 2]  epochs=200  anneal=150  out=C:\Users\renat\OneDrive\Desktop\faks\Utrecht\Deep Learning\DeepLearningAssignment1\experiments\baselines\milestone5_lstm_all_tricks
12:14:04 [INFO] epoch  145  train_loss=0.00123  val_mae= 51.763  val_mse= 4628.45  best_mae= 16.966@e5  bad=28/30
12:14:04 [INFO] epoch  150  train_loss=0.00107  val_mae= 51.732  val_mse= 4545.35  best_mae= 16.966@e5  bad=29/30
12:14:05 [INFO] epoch  155  train_loss=0.00091  val_mae= 52.245  val_mse= 4721.90  best_mae= 16.966@e5  bad=30/30
12:14:05 [INFO] early stopping at epoch 155 (no inner-val improvement for 30 evals)
12:14:05 [INFO]   test MAE=25.465  MSE=1044.29  NMSE=1.0985  best@e5
12:14:05 [INFO] 
--- holdout B  seed 2 ---
12:14:05 [INFO] epoch    5  train_loss=0.06384  val_mae= 24.624  val_mse= 1117.81  best_mae= 24.624@e5  bad=0/30
12:14:06 [INFO] epoch   10  train_loss=0.05187  val_mae= 18.352  val_mse=  914.56  best_mae= 18.352@e10  bad=0/30
12:14:06 [INFO] epoch   15  train_loss=0.05144  val_mae= 18.071  val_mse=  898.00  best_mae= 18.071@e15  bad=0/30
12:14:06 [INFO] epoch   20  train_loss=0.05029  val_mae= 17.495  val_mse=  864.41  best_mae= 17.495@e20  bad=0/30
12:14:06 [INFO] epoch   25  train_loss=0.03761  val_mae= 17.674  val_mse=  764.71  best_mae= 17.495@e20  bad=1/30
